schedule_period_name,schedule_period_start_date,schedule_period_end_date,stop_number,route_number,route_name,day_type,time_period,average_boardings,average_alightings,location
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,14.4,64.4,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,2,Downtown Spirit,Saturday,Afternoon,2.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Afternoon,17.3,8.4,POINT (-97.1388667306942 49.8961855953002)
Summer 2020,08/02/2020 12:00:00 AM,09/05/2020 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Night,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,21,Portage Express,Saturday,Morning,19.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Afternoon,4.0,4.4,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,1.7,0.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Morning,1.8,0.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,67,Charleswood Express,Weekday,PM Peak,9.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,1.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2022,09/04/2022 12:00:00 AM,12/10/2022 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,5.0,0.8,POINT (-97.1388667306942 49.8961855953002)
